Year,fossil emissions excluding carbonation,land-use change emissions
1870,0.145343,0.734525
1871,0.154515,0.764167
1872,0.170953,0.777761
1873,0.181610,0.797628
1874,0.170032,0.811316
1875,0.184443,0.821979
1876,0.187105,0.830510
1877,0.190802,0.842983
1878,0.192244,0.854430
1879,0.206023,0.867022
1880,0.232999,0.879107
1881,0.240832,0.877233
1882,0.254346,0.895579
1883,0.270479,0.911406
1884,0.273520,0.915497
1885,0.275566,0.916764
1886,0.279880,0.924524
1887,0.293876,0.936840
1888,0.325403,0.939454
1889,0.325274,0.939680
1890,0.354384,0.976799
1891,0.370873,1.004529
1892,0.373934,1.015892
1893,0.369453,1.031914
1894,0.382332,1.041384
1895,0.405372,1.049562
1896,0.418589,1.059393
1897,0.438404,1.070429
1898,0.462412,1.081184
1899,0.505160,1.090512
1900,0.532812,1.120957
1901,0.550426,1.137217
1902,0.564355,1.154132
1903,0.615742,1.161864
1904,0.622778,1.177670
1905,0.663109,1.183851
1906,0.696471,1.188982
1907,0.787468,1.195197
1908,0.757760,1.203123
1909,0.787959,1.213973
1910,0.826307,1.216594
1911,0.841283,1.213587
1912,0.881095,1.198256
1913,0.953169,1.200242
1914,0.864722,1.198253
1915,0.852917,1.185152
1916,0.920621,1.172427
1917,0.962807,1.173120
1918,0.949559,1.178934
1919,0.822837,1.174340
1920,0.957314,1.207765
1921,0.839530,1.235410
1922,0.880580,1.246871
1923,0.999203,1.253135
1924,1.002292,1.256598
1925,1.013361,1.271997
1926,0.994891,1.270799
1927,1.086661,1.268624
1928,1.081509,1.271617
1929,1.161365,1.272299
1930,1.070728,1.300625
1931,0.956697,1.326935
1932,0.862220,1.338971
1933,0.907884,1.352921
1934,0.987364,1.368520
1935,1.036062,1.365779
1936,1.138274,1.372259
1937,1.216966,1.373545
1938,1.145005,1.382956
1939,1.211302,1.384575
1940,1.323689,1.435165
1941,1.353514,1.460743
1942,1.348205,1.462024
1943,1.370995,1.458500
1944,1.393419,1.453390
1945,1.158514,1.444274
1946,1.264620,1.436096
1947,1.400188,1.426582
1948,1.474134,1.407751
1949,1.431009,1.388786
1950,1.638472,1.486318
1951,1.741237,1.534668
1952,1.764692,1.591934
1953,1.814376,1.629533
1954,1.853189,1.682113
1955,2.031488,1.738825
1956,2.162769,1.798825
1957,2.234086,1.850088
1958,2.297427,1.907754
1959,2.417133,1.845519
1960,2.562175,1.853712
1961,2.570588,1.862120
1962,2.661371,1.790599
1963,2.803463,1.651862
1964,2.955750,1.564111
1965,3.088942,1.417173
1966,3.238880,1.348866
1967,3.341811,1.372223
1968,3.523830,1.379532
1969,3.757608,1.292424
1970,4.066205,1.286514
1971,4.230256,1.273134
1972,4.427604,1.276302
1973,4.661611,1.238637
1974,4.642780,1.192266
1975,4.652986,1.417018
1976,4.908707,1.301928
1977,5.048153,1.267284
1978,5.204593,1.153955
1979,5.352477,1.160742
1980,5.320538,1.130973
1981,5.193513,1.177646
1982,5.152263,1.155482
1983,5.185639,1.272159
1984,5.365456,1.411811
1985,5.545827,1.337713
1986,5.628344,1.317747
1987,5.804904,1.263666
1988,6.032984,1.229257
1989,6.116385,1.188241
1990,6.206967,1.173356
1991,6.340287,1.149587
1992,6.157628,1.198580
1993,6.221379,1.171723
1994,6.265406,1.314115
1995,6.398910,1.300821
1996,6.590078,1.321238
1997,6.630699,1.820590
1998,6.605359,1.401315
1999,6.690738,1.384558
2000,6.885961,1.238342
2001,6.945183,1.136712
2002,7.105855,1.287698
2003,7.468206,1.390108
2004,7.812293,1.248989
2005,8.078338,1.118972
2006,8.345996,1.266371
2007,8.594390,1.104420
2008,8.751576,1.129605
2009,8.625380,1.236147
2010,9.099376,1.167812
2011,9.406417,1.318542
2012,9.544390,1.276321
2013,9.628740,1.178163
2014,9.697487,1.245550
2015,9.687137,1.301011
2016,9.675212,1.010801
2017,9.804335,0.999694
2018,10.000813,1.052822
2019,10.016143,1.044053
2020,9.499958,0.876090
