Investment and Capital Stock (ICSD),,,,,,,,,,,,,,,,,,
,2013,,2014,,2015,,2016,,2017,,2018,,2019,,,,,
Mongolia,27.45,,29.61,,30.31,,30.92,,32.60,,34.90,,36.59,,,,,
"Montenegro, Rep. of",10.74,,10.93,,11.30,,11.64,,12.19,,12.80,,13.32,,,,,
Morocco,226.55,,235.64,,247.26,,255.20,,269.99,,280.28,,290.36,,,,,
Mozambique,29.38,,31.56,,33.68,,34.97,,36.28,,37.53,,38.38,,,,,
Myanmar,197.43,,212.19,,225.78,,238.77,,254.06,,271.21,,279.04,,,,,
Namibia,21.68,,22.93,,23.96,,23.90,,23.84,,24.00,,23.73,,,,,
Nauru,0.12,,0.16,,0.16,,0.17,,0.16,,0.17,,0.17,,,,,
Nepal,75.99,,80.54,,83.22,,83.71,,90.59,,96.66,,103.42,,,,,
Netherlands,868.06,,880.49,,897.72,,916.95,,944.59,,966.47,,982.22,,,,,
New Zealand,171.60,,177.09,,184.36,,192.06,,199.36,,205.76,,210.32,,,,,
Nicaragua,30.05,,31.49,,33.00,,34.50,,36.10,,34.67,,33.33,,,,,
Niger,19.58,,21.05,,21.96,,23.21,,24.37,,26.08,,27.60,,,,,
Nigeria,892.77,,949.10,,974.27,,958.52,,966.33,,984.96,,"1,006.57",,,,,
North Macedonia,28.33,,29.36,,30.49,,31.36,,31.70,,32.56,,33.72,,,,,
Norway,314.32,,320.51,,326.82,,330.32,,337.99,,341.78,,344.69,,,,,
Oman,129.43,,131.32,,137.40,,144.41,,144.91,,146.24,,145.03,,,,,
Pakistan,807.82,,845.58,,885.59,,934.53,,986.44,,"1,043.95",,"1,078.78",,,,,
Palau,0.29,,0.30,,0.33,,0.33,,0.32,,0.34,,0.34,,,,,
Panama,98.26,,103.23,,109.15,,114.56,,120.96,,125.32,,129.13,,,,,
Papua New Guinea,27.36,,31.07,,33.11,,34.93,,36.16,,36.06,,38.42,,,,,
Paraguay,71.68,,75.16,,77.48,,80.82,,84.83,,87.67,,87.87,,,,,
Peru,333.68,,341.63,,352.74,,366.69,,375.92,,390.87,,399.28,,,,,
Philippines,643.92,,683.49,,724.96,,774.87,,826.61,,878.22,,930.08,,,,,
Poland,979.89,,"1,013.00",,"1,055.91",,"1,089.08",,"1,141.69",,"1,202.82",,"1,257.44",,,,,
Portugal,314.17,,316.66,,322.33,,328.84,,340.37,,350.07,,357.90,,,,,
Puerto Rico,121.88,,120.43,,119.17,,117.67,,114.27,,108.94,,110.24,,,,,
Qatar,268.52,,279.20,,289.41,,295.58,,300.25,,304.74,,304.18,,,,,
Romania,443.58,,459.59,,473.16,,495.41,,531.68,,555.47,,578.53,,,,,
