,solar,volcanic
1861.5,0.011911844,0.107672012
1862.5,-0.000350217,-0.700605334
1863.5,-0.007542087,-0.295583145
1864.5,-0.014593551,0.033565922
1865.5,-0.020272165,0.149773953
1866.5,-0.023158273,0.18413369
1867.5,-0.027542038,0.195330366
1868.5,-0.01776047,0.198994665
1869.5,8.66E-05,0.200196288
1870.5,0.001475052,0.200591377
1871.5,0.012239456,0.20072025
1872.5,0.006560843,0.194550896
1873.5,-0.00309592,-0.044495556
1874.5,-0.011473434,0.106271365
1875.5,-0.02707402,0.120713754
1876.5,-0.034219089,0.132862105
1877.5,-0.03879006,0.176541628
1878.5,-0.044453073,0.19277966
1879.5,-0.043267428,0.195367085
1880.5,-0.029351706,0.147625142
1881.5,-0.009991379,0.146469021
1882.5,-0.014125534,0.197425674
1883.5,-0.017089645,-0.516673852
1884.5,0.006108426,-1.962339963
1885.5,-0.008368918,-0.678986833
1886.5,-0.024796335,-0.118183594
1887.5,-0.034921115,-0.035164517
1888.5,-0.038883664,0.137851621
1889.5,-0.040303317,0.192418794
1890.5,-0.036839987,0.010365196
1891.5,-0.011426633,-0.132772558
1892.5,0.009493753,0.065306143
1893.5,0.025936771,0.198013587
1894.5,0.045733914,0.198617399
1895.5,0.026997611,0.198660105
1896.5,0.001381449,0.198528234
1897.5,-0.015061569,0.198337476
1898.5,-0.022768259,0.198121693
1899.5,-0.031941403,0.197890502
1900.5,-0.037245602,0.197646418
1901.5,-0.046293942,0.197420644
1902.5,-0.044141061,-0.038538001
1903.5,-0.025825973,-0.746985605
1904.5,0.007465677,-0.292198413
1905.5,-0.007214474,0.074350095
1906.5,0.016794827,0.179251825
1907.5,0.00381514,0.017017952
1908.5,0.011927445,0.129990838
1909.5,-0.004921188,0.195610138
1910.5,-0.017354855,0.195365312
1911.5,-0.03532673,0.195116361
1912.5,-0.042190988,-0.38742462
1913.5,-0.040677731,-0.295387077
1914.5,-0.026980417,0.006094919
1915.5,0.012769876,0.168086839
1916.5,0.044751077,0.193406054
1917.5,0.065874271,0.193534312
1918.5,0.069649613,0.193258531
1919.5,0.037013187,0.192976646
1920.5,0.006030423,0.192690694
1921.5,-0.013142697,0.192400605
1922.5,-0.030646554,0.053422576
1923.5,-0.034624704,0.117710271
1924.5,-0.026902414,0.191505641
1925.5,-0.00576362,0.191199065
1926.5,0.022551444,0.190888422
1927.5,0.046248734,0.190573622
1928.5,0.03071055,0.151860601
1929.5,0.022754251,-0.036809137
1930.5,0.022972659,0.189604587
1931.5,0.000741824,0.189273354
1932.5,-0.015810397,0.003710881
1933.5,-0.022737057,0.150507616
1934.5,-0.015030368,0.188254931
1935.5,0.011584232,0.187907245
1936.5,0.069243997,0.18755543
1937.5,0.072535721,0.187199505
1938.5,0.062098929,0.186839456
1939.5,0.05919722,0.186475299
1940.5,0.039774491,0.186107024
1941.5,0.0240647,0.185734648
1942.5,0.005593607,0.185358123
1943.5,-0.013064694,0.184977504
1944.5,-0.007869699,0.184592765
1945.5,0.02751243,0.184203942
1946.5,0.04456387,0.183810953
1947.5,0.090055179,0.18341388
1948.5,0.105624564,0.183012698
1949.5,0.090601199,0.182607381
1950.5,0.056950736,0.182197972
1951.5,0.012457865,0.181784427
1952.5,0.010445389,0.181366773
1953.5,-0.002612301,0.18094502
1954.5,-0.002456296,0.180519124
1955.5,0.02484473,0.180089122
1956.5,0.084984989,0.179655026
1957.5,0.14092869,0.179216783
1958.5,0.148338968,0.178774449
1959.5,0.116669779,0.178327997
1960.5,0.094969364,0.177877443
1961.5,0.046872757,0.166289319
1962.5,0.013456302,-0.024382967
1963.5,0.001880667,-0.912732776
1964.5,-0.003485934,-0.665329648
1965.5,-0.000490622,-0.344913345
1966.5,0.025141141,0.108734289
1967.5,0.056857132,-0.151840982
1968.5,0.073596561,-0.035009438
1969.5,0.076576273,0.051402268
1970.5,0.078510745,0.047264237
1971.5,0.049836868,-0.089890468
1972.5,0.048058402,0.025605628
1973.5,0.019290921,0.156062684
1974.5,0.005172391,0.024223704
1975.5,0.005484403,-0.223082429
1976.5,0.000835428,0.036954312
1977.5,0.030944559,0.121601632
1978.5,0.077059891,0.146588282
1979.5,0.115858548,0.131145784
1980.5,0.108214261,0.085954727
1981.5,0.110757157,0.053912348
1982.5,0.067418729,-0.291765125
1983.5,0.06559346,-0.753385418
1984.5,0.014610745,-0.289745783
1985.5,-0.002612301,-0.025879272
1986.5,-0.000490622,-0.027459557
1987.5,0.010382987,0.050499119
1988.5,0.055406278,0.104509137
1989.5,0.117262601,0.141584426
1990.5,0.105827371,0.137264285
1991.5,0.104111307,-0.575037909
1992.5,0.083346927,-1.787631211
1993.5,0.034485892,-0.793963177
1994.5,0.004907181,-0.087425647
1995.5,-0.00070903,0.085922264
1996.5,-0.012908688,0.148747981
1997.5,0.003503128,0.169317688
1998.5,0.05039849,0.170976097
1999.5,0.084906986,0.17446292
2000.5,0.110008328,0.175109766
2001.5,0.099446732,0.169849353
2002.5,0.10473533,0.176633147
2003.5,0.043362625,0.160278112
2004.5,0.016576419,0.171193017
2005.5,-0.009882175,0.143467141
2006.5,-0.0158884,0.128362066
2007.5,-0.027401633,0.114754039
2008.5,-0.029882126,0.131293399
2009.5,-0.029944528,0.104192286
