"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|BC","Mt BC/yr","",8.3348,7.3397,"",6.0036,"","","","","",4.76,"",3.8636,"",3.0578,"",2.7282,"",2.4444,"",2.2016,"",1.9969999999999999,"",1.8185
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|VOC","Mt VOC/yr","",210.2173,198.1244,"",179.7684,"","","","","",161.4041,"",145.6759,"",129.4555,"",113.13799999999999,"",96.9425,"",80.8635,"",65.3289,"",50.3103
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|CH4","Mt CH4/yr","",350.2723,368.7312,"",405.1339,"","","","","",440.7394,"",470.0133,"",489.3824,"",500.8663,"",505.1233,"",499.7813,"",485.8765,"",465.4559
"AIM/CGE 2.0","SSP4-26","World","Emissions|OC","Mt OC/yr","",38.0662,36.5338,"",35.6652,"","","","","",31.2955,"",29.930999999999997,"",28.9396,"",27.4683,"",26.4131,"",25.4762,"",24.5945,"",23.7576
"AIM/CGE 2.0","SSP4-26","World","Emissions|CO","Mt CO/yr","",950.7368,899.1494,"",885.3897,"","","","","",788.2911,"",766.5619,"",750.7076,"",717.5485,"",688.2905,"",662.93,"",640.6073,"",620.9115
"AIM/CGE 2.0","SSP4-26","World","Emissions|N2O","kt N2O/yr","",8950.4279,9594.0106,"",10937.1107,"","","","","",6484.2574,"",6429.1608,"",7499.1645,"",7643.4843,"",7428.5740000000005,"",7222.5871,"",7048.5019999999995,"",6886.7562
"AIM/CGE 2.0","SSP4-26","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,32269.222,"",38801.8776,"","","","","",31606.5367,"",21223.3657,"",14725.1326,"",8794.1728,"",4277.6202,"",1778.0882,"",146.1055,"",-939.0569
"AIM/CGE 2.0","SSP4-26","World","Emissions|NH3","Mt NH3/yr","",52.6096,54.1674,"",56.9904,"","","","","",57.6263,"",57.8873,"",58.1762,"",57.848,"",56.7884,"",55.4378,"",53.9331,"",52.3537
"AIM/CGE 2.0","SSP4-26","World","Emissions|NOx","Mt NO2/yr","",123.3375,114.8485,"",117.99,"","","","","",85.4822,"",65.1069,"",57.4025,"",50.6132,"",45.6302,"",42.325,"",40.192,"",38.7883
"AIM/CGE 2.0","SSP4-26","World","Emissions|Sulfur","Mt SO2/yr","",119.3537,99.3086,"",98.2448,"","","","","",62.4133,"",41.9275,"",33.9386,"",27.6556,"",23.5382,"",20.8029,"",18.5925,"",16.7267
"AIM/CGE 2.0","SSP4-26","World","Emissions|BC","Mt BC/yr","",8.3348,7.664,"",7.415,"","","","","",6.0594,"",5.4524,"",5.1862,"",4.7818,"",4.4393,"",4.177,"",3.9701,"",3.7958
"AIM/CGE 2.0","SSP4-26","World","Emissions|VOC","Mt VOC/yr","",210.2173,203.4982,"",204.2083,"","","","","",187.7813,"",180.62599999999998,"",179.3532,"",172.697,"",165.6053,"",158.64700000000002,"",151.7027,"",144.9225
"AIM/CGE 2.0","SSP4-26","World","Emissions|CH4","Mt CH4/yr","",350.2723,372.652,"",419.1605,"","","","","",230.7655,"",186.6927,"",174.0523,"",175.0063,"",165.3504,"",158.3041,"",153.0304,"",148.1643
"AIM/CGE 2.0","SSP4-34","World","Emissions|OC","Mt OC/yr","",38.0662,36.5338,"",35.6652,"","","","","",32.3373,"",30.8882,"",29.5434,"",27.7749,"",26.3452,"",25.1377,"",24.0156,"",22.9861
"AIM/CGE 2.0","SSP4-34","World","Emissions|CO","Mt CO/yr","",950.7368,899.1494,"",885.3897,"","","","","",813.4428,"",787.6366,"",759.5985,"",720.502,"",688.0298,"",660.8067,"",635.9333,"",614.0125
"AIM/CGE 2.0","SSP4-34","World","Emissions|N2O","kt N2O/yr","",8950.4279,9594.0106,"",10937.1107,"","","","","",7736.361999999999,"",7768.0065,"",8446.1747,"",8397.9183,"",8412.6459,"",8428.3563,"",8361.5305,"",8303.7695
"AIM/CGE 2.0","SSP4-34","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,32269.222,"",38801.8776,"","","","","",37496.3004,"",33141.9952,"",28017.412999999997,"",21473.4377,"",16051.2864,"",12172.1818,"",9128.6931,"",6681.0398
"AIM/CGE 2.0","SSP4-34","World","Emissions|NH3","Mt NH3/yr","",52.6096,54.1674,"",56.9904,"","","","","",58.2462,"",59.2118,"",59.3337,"",58.7371,"",57.9281,"",57.0133,"",55.7697,"",54.4994
